Generations	Gene	k_i	C_i
5250	ECB_01992	12	0.606060606061
5250	acpP	22	0.441558441558
5250	appC	13	0.705128205128
5250	arcA	11	0.8
5250	cycA	7	0.952380952381
5250	fabF	16	0.525
5250	flgB	15	0.657142857143
5250	hokB	25	0.306666666667
5250	hokD	25	0.406666666667
5250	hslU	0	0.0
5250	iclR	23	0.391304347826
5250	infC	16	0.516666666667
5250	malT	5	0.9
5250	mokC	24	0.416666666667
5250	mreB	6	0.866666666667
5250	mreC	9	0.944444444444
5250	nadR	3	0.666666666667
5250	oppD	10	0.888888888889
5250	phoH	7	0.952380952381
5250	prlA	8	1.0
5250	pykF	0	0.0
5250	rbsA	13	0.705128205128
5250	rbsB	8	0.75
5250	rbsD	19	0.561403508772
5250	rbsR	10	0.733333333333
5250	rplF	18	0.588235294118
5250	rpsA	12	0.712121212121
5250	rpsC	15	0.704761904762
5250	spoT	10	0.6
5250	trkH	11	0.8
5250	ybaL	11	0.381818181818
5250	ybeB	14	0.516483516484
5250	ycdM	10	0.733333333333
5250	yeeR	6	0.933333333333
5250	yeeU	9	0.805555555556
5250	yfaQ	8	0.857142857143
5250	yfcTU	5	0.9
5250	ygjD	10	0.888888888889
5250	yhdG	13	0.615384615385
5250	yieO	9	0.805555555556
5250	ylcG	30	0.287356321839
1750	ECB_01992	15	0.647619047619
1750	acpP	15	0.8
1750	appC	9	0.916666666667
1750	cycA	11	0.890909090909
1750	fabF	5	0.7
1750	flgB	10	0.888888888889
1750	hokB	15	0.8
1750	hslU	17	0.595588235294
1750	infC	14	0.725274725275
1750	mokC	15	0.8
1750	mreB	12	0.530303030303
1750	mreC	7	0.666666666667
1750	nadR	16	0.65
1750	prlA	7	0.666666666667
1750	pykF	0	0.0
1750	rbsB	12	0.833333333333
1750	rbsD	8	0.428571428571
1750	rbsR	7	0.52380952381
1750	spoT	14	0.835164835165
1750	trkH	4	0.833333333333
1750	ybeB	16	0.45
1750	yfaQ	4	1.0
1750	yhdG	12	0.833333333333
1750	yieO	17	0.595588235294
9250	ECB_00737	6	0.866666666667
9250	ECB_01992	20	0.573684210526
9250	ECB_02816	1	0.0
9250	ECB_03722	9	0.861111111111
9250	acpP	26	0.430769230769
9250	appC	3	1.0
9250	arcA	5	0.7
9250	cycA	6	0.866666666667
9250	envZ	1	0.0
9250	fabF	2	0.0
9250	flgB	32	0.1875
9250	hokB	44	0.172304439746
9250	hokD	42	0.157955865273
9250	hslU	0	0.0
9250	hupB	22	0.506493506494
9250	hyfA	3	1.0
9250	iap	2	1.0
9250	iclR	3	0.666666666667
9250	infB	3	0.666666666667
9250	infC	6	0.8
9250	malT	2	0.0
9250	metH	3	1.0
9250	mokC	16	0.558333333333
9250	mreB	3	0.666666666667
9250	mreC	2	1.0
9250	nadR	2	1.0
9250	oppD	2	1.0
9250	phoH	6	0.866666666667
9250	prlA	1	0.0
9250	pykF	0	0.0
9250	rbsA	3	1.0
9250	rbsB	8	0.857142857143
9250	rbsD	12	0.878787878788
9250	rbsR	3	1.0
9250	rfbB	1	0.0
9250	rne	2	1.0
9250	rplF	12	0.878787878788
9250	rpsA	3	1.0
9250	rpsC	12	0.878787878788
9250	sapF	9	0.861111111111
9250	speG	9	0.388888888889
9250	spoT	4	0.666666666667
9250	thrA	5	0.9
9250	trkH	11	0.890909090909
9250	wzy	3	1.0
9250	ybaE	6	0.866666666667
9250	ybaL	3	1.0
9250	ybbN	7	0.857142857143
9250	ybeB	10	0.8
9250	ybhP	9	0.861111111111
9250	ycdM	2	1.0
9250	yceK	25	0.436666666667
9250	ycfC	8	0.857142857143
9250	yebY	28	0.386243386243
9250	yecE	7	0.857142857143
9250	yeeR	5	0.8
9250	yeeU	7	0.857142857143
9250	yfaQ	2	1.0
9250	yfcTU	5	0.8
9250	yggM	2	1.0
9250	ygjD	2	1.0
9250	yhdG	3	1.0
9250	yieO	3	0.666666666667
9250	yihP	3	1.0
9250	ylcG	48	0.0948581560284
9250	yqeB	3	1.0
17250	ECB_00737	3	0.666666666667
17250	ECB_01992	4	0.833333333333
17250	ECB_02797	2	1.0
17250	ECB_02816	2	0.0
17250	ECB_02852	4	0.666666666667
17250	ECB_03710	3	0.666666666667
17250	ECB_03722	2	0.0
17250	acpP	9	0.833333333333
17250	acs	2	0.0
17250	appC	1	0.0
17250	arcA	4	0.5
17250	blr	32	0.100806451613
17250	cls	4	0.666666666667
17250	cpsG	3	0.666666666667
17250	cycA	2	0.0
17250	envZ	1	0.0
17250	fabF	3	0.666666666667
17250	flgB	5	0.7
17250	flu	2	0.0
17250	galF	3	0.333333333333
17250	gmhB	4	0.666666666667
17250	hokB	39	0.113360323887
17250	hokD	50	0.0530612244898
17250	hsdS	3	0.666666666667
17250	hslU	0	0.0
17250	hupB	8	0.892857142857
17250	hyfA	4	0.666666666667
17250	iap	1	0.0
17250	iclR	1	0.0
17250	ilvL	33	0.107954545455
17250	infB	3	1.0
17250	infC	3	0.333333333333
17250	lacZ	2	0.0
17250	lon	1	0.0
17250	lrp	2	1.0
17250	malT	3	0.666666666667
17250	menC	1	0.0
17250	metH	2	1.0
17250	metJ	6	0.733333333333
17250	mntH	2	0.0
17250	mokC	5	0.7
17250	mreB	5	0.7
17250	mreC	1	0.0
17250	nadR	2	0.0
17250	narZ	1	0.0
17250	nudC	2	0.0
17250	oppD	1	0.0
17250	pbpC	2	0.0
17250	pflB	4	0.833333333333
17250	phoH	3	0.666666666667
17250	phoR	2	0.0
17250	plsB	4	0.666666666667
17250	prlA	1	0.0
17250	proX	3	0.666666666667
17250	pykF	0	0.0
17250	rbsA	1	0.0
17250	rbsB	2	0.0
17250	rbsD	3	0.333333333333
17250	rbsR	4	0.666666666667
17250	recO	1	0.0
17250	rfbB	1	0.0
17250	rnb	1	0.0
17250	rne	3	1.0
17250	rpiR	3	0.666666666667
17250	rplF	3	0.333333333333
17250	rpsA	1	0.0
17250	rpsC	3	0.333333333333
17250	sapA	2	0.0
17250	sapF	2	0.0
17250	speG	2	1.0
17250	spoT	4	0.833333333333
17250	thiI	2	0.0
17250	thrA	3	1.0
17250	trkH	3	0.333333333333
17250	wzy	1	0.0
17250	ybaE	2	0.0
