"ECB_01992"	"ESCRE0483"	"ESCRE1901"	"aroA"	"cls"	"cysQ"	"deoA"	"fruK"	"fusA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpK"	"glpT"	"hsdR"	"hypE"	"iclR"	"infB"	"ispH"	"kpsD"	"malQ"	"metA"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreD"	"nusA"	"ompR"	"orn"	"pbpG"	"rhlB"	"rho"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rssB"	"rtn"	"sdaC"	"thrA"	"thrS"	"treF"	"valT"	"wbbD"	"ybaL"	"ydbD"	"ydeH"	"yhiO"	"yjcC"	"yjgN"	"ylaB"	"zraR"
"ECB_01992"	1	0	0	0	0	0	0	0	0	-0.016913647012199	0	0	0	0	0	0	0	0	0	0	0	0	0.0481402102784305	0	0	0	0	0	0	0	0	0.156717488129409	0	0.0402119590764662	0	0	0	0	0.196790144366599	0	0	0	0	0	0	0	0	0	0	0.152751175053695	0	0	0	0
"ESCRE0483"	0	1	0	0	0	0	0	0	0	-0.195061195581143	0	0	0	0	0	0	0	0	0	0	0	0	-0.142986520827633	0	0.0156548572339493	0	0	0	0	0	0	0	0	0	0	0	0	0.0197569076610876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	1	0	0	0	0	0	0	0.00644609578997465	0	0	0	0	0	0	0	0	0	0	0	0	-0.259787484763081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroA"	0	0	0	1	0	0	0	0	0	0.131163144627837	0	0	0	0	0.0349370026357143	0	0	0	0	0	0.0615984360871886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	1	0	0	0	0	-0.110473899542242	0	0	0	0	0	0	0	0	0	0	0	0	0.00440172845949815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cysQ"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241743604561511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	1	0	0	0.149762592406222	0	0	0	0	0	0	0	0	0	0	0	0	0.120700175444264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fruK"	0	0	0	0	0	0	0	1	0	-0.149609504960074	0	0	0	0	0	0	0	0	0	0	0	0	0.128019536778956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fusA"	0	0	0	0	0	0	0	0	1	0.180903044566963	0	0	0	0	0	0	0	0	0	0	0	0	-0.0985431849173585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgC"	-0.016913647012199	-0.195061195581143	0.00644609578997465	0.131163144627837	-0.110473899542242	0	0.149762592406222	-0.149609504960074	0.180903044566963	1	0	-0.112882394248907	-0.114143435501026	-0.0439891319715754	0.0453826165546856	0.167341142612487	-0.00432028964036452	-0.291305932746228	-0.185619891211508	0	0.152515202779259	0.178433674075755	0	0.17049929962402	-0.200498280347411	0.274986906218302	0	-0.185987808467567	0	0	-0.189966857258914	-0.0188924857652274	-0.212040481154408	-0.199479120436313	-0.00804494341604496	0.0973225323105865	0.157505823059574	-0.20348572183512	0.0456568039369215	-0.038356230454785	0.164785159051273	0.00701896638771605	-0.156631252576564	0.169449624389576	0.00655224505924122	0.162963231384394	0	0.190535333489112	-0.0398973184014405	-0.0210132478499398	0.174092867403005	0.193436321020615	-0.044789645262402	0
