"ECB_00737"	"ECB_00825"	"ECB_01992"	"ECB_02821"	"ECB_04210"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"argA"	"atpC"	"azoR"	"cls"	"crp"	"dapA"	"dnaA"	"fbp"	"fcl"	"fis"	"glgP"	"glmS"	"glpF"	"glpT"	"gltB"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"manZ"	"mraY"	"mraZ"	"mrdA"	"mreB"	"mreD"	"nusA"	"pgaB"	"ppiA"	"pta"	"rho"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"rssB"	"slyA"	"uidB"	"uspA"	"yahA"	"ybaL"	"ybhI"	"ydcN"	"yecP"	"yedW"	"yfcD"	"yfeY"	"yfgA"	"yfiB"	"ygaD"	"ygfK"	"yjcR"	"yjhA"	"yjhC"	"ykgG"	"ylbH"	"yraL"
"ECB_00737"	1	0	0	-0.0636610396014914	0	0	0	0	0	0	0	0	0	0	0.122405342105556	0	0.00162053015776341	0	0	0	0	0.114324832870683	0	0	0	0	0	0	0	-0.0528291273676933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00825"	0	1	0	0.030557867749678	0	-0.00725931728482597	0	0	0	0	0	0	0	0	0.128702533518583	0	0	0	0	0	0	-0.174811846875842	0	0.00608174700868681	0.00403505121770837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313880780104399	0.012379208238265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00963498993629672	0	-0.00760732552650103
"ECB_01992"	0	0	1	-0.137211178704905	0	0	0	0	0	0	0	0	0	0	-0.0767092622705788	0	0	0	0	0	0	-0.0430186931786775	0	0	0	0	0	0	0	0.185953668831334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	-0.0636610396014914	0.030557867749678	-0.137211178704905	1	-0.0779833667900663	0.0718121833724138	0.102953686684647	-0.20016475795173	0	0	0.108258295981357	0.119211780818324	-0.147839673804689	-0.0620239696754283	0	0.0547868835286506	-0.0738660379542745	-0.0758410422526599	0	0.179434354334135	0.190079093178483	0	0.0958965173596737	0.0264184866727636	0.0259140614113443	0.225786883464985	0.0145734654057702	-0.155835863231954	-0.0568194716941518	-0.101100032144158	-0.0111486856985413	-0.191199607501283	-0.199703414280333	0.0467029449549709	0.191016820538129	0.182837896206708	-0.131738096645172	0.0235870259249934	-0.0570540922940103	-0.0882419989009748	0.197834355466893	0	0.168141862573111	0.0770843398817452	0.0258450419893461	0.0285519289429138	-0.153058353086051	-0.0402221661861557	0.0953156987513915	0.121612407474902	-0.0947800224098891	-0.0812401310920804	0	-0.0824930666910222	0	0.114090339312744	0.0485569569267455	-0.00266941807613657	0.130402448376092	0.0297520261363588	0.0948396303597603	0.197907602978677	0.0482595946053104	0.0524742513192166	-0.114589357775791	0.135750104268096	0.0283248306025406	0.042816742321005	-0.122991315812477	-0.0554713273506763	-0.117007828303279	0	-0.0588680349171335	0
"ECB_04210"	0	0	0	-0.0779833667900663	1	0	0	0	0	0	0	0	0	0	-0.131579847047444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115418959225359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00304241811882798	0	0.0059172044477537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	-0.00725931728482597	0	0.0718121833724138	0	1	0.0271039833110902	0	0	0	0	0	0	0	-0.27504675378923	0.00475177150245143	0	0	0	0	0	0.0592868029660114	0	0	0	0	0	0	0	0.0250196520199297	0	0	0	0	0	0	0	0	0	0	0	0.0135699129485855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0200404196288817	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE3628"	0	0	0	0.102953686684647	0	0.0271039833110902	1	0	0	0	0	0	0	0	-0.171003051136641	0	0	0	0	0	0	0.0191582876157607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304491372331437	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE4497"	0	0	0	-0.20016475795173	0	0	0	1	0	0	0	0	0	0	0.0523466482058109	0	0	0	0	0	0	0.0960499149080724	0	0	0	0	0	0	0	0	0	0.0225975503891	0.0325199384030522	0	0	0	0	0	0	0	-0.0079558364524991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00843748379934569	0	0	0	0	0	0	0	0	0	0	0	0
"argA"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.117439242113428	0	0	0	0	0	0	-0.134835350432622	0	0	0	0	0	0	0	0.106897290762785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpC"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0959565889817202	0	0	0	0	0	0	0.193121727680008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"azoR"	0	0	0	0.108258295981357	0	0	0	0	0	0	1	0	0	0	-0.0184492787818665	0	0	0	0	0	0	-0.196207905217577	0.0215592847934644	0	0	0	0	0	0	0.0131147550633285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0.119211780818324	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0976776683908567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	-0.147839673804689	0	0	0	0	0	0	0	0	1	0	-0.068605866137955	0	0	0	0	0	0	0.138040581989505	0	0	0	0	0	0	0	0.0511327719476699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dapA"	0	0	0	-0.0620239696754283	0	0	0	0	0	0	0	0	0	1	0.115595755016485	0	0	0	0	0	0	0.112371159126552	0	0	0	0	0	0	0	-0.0474289644754867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0.122405342105556	0.128702533518583	-0.0767092622705788	0	-0.131579847047444	-0.27504675378923	-0.171003051136641	0.0523466482058109	-0.117439242113428	-0.0959565889817202	-0.0184492787818665	0	-0.068605866137955	0.115595755016485	1	-0.266020563157659	0.141974908980999	-0.0201956019169991	-0.0293896198750875	-0.00249848759646978	0.0702700051615341	-0.0110741953721881	-0.027044842356453	0.123826428339044	0.122511596443816	-0.0807797019319246	0.0319270224394705	0	0.0125188682775285	-0.00977734072932061	-0.0171815205349381	0.052271669693351	0.0540225862823899	0.124492888323855	-0.0789460112899164	-0.00239228321073119	0.00552601383352507	-0.0911352122894456	0.0121047558181552	-0.185073349984337	-0.0822506185616841	-0.187577513344661	0.0128169425150224	0.0146410663423688	0.121852640566917	0.127792720778198	0	0.0183425585855756	-0.171022830031602	-0.205287580944801	0.0151186071109231	-0.135355558904918	0.192656393934564	-0.138336706100236	-0.115097175578991	0	0.13036543221291	0.0349030928166381	-0.0848851504141707	0.000113214309486875	-0.167353315501945	-0.0828656636457159	0.129957514880351	0.144378623875236	0.116875554124329	0.0296293390908916	0.0001302637944586	0.116352200632648	0.13106876755334	0.00928594038486974	0.12018277148581	-0.103739869030512	0.114640797694068	-0.102735114636121
"fbp"	0	0	0	0.0547868835286506	0	0.00475177150245143	0	0	0	0	0	0	0	0	-0.266020563157659	1	0	0	0	0	0	-0.0437559483321796	0	0	0	0	0	0	0	0.0923355140480285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fcl"	0.00162053015776341	0	0	-0.0738660379542745	0	0	0	0	0	0	0	0	0	0	0.141974908980999	0	1	0	0	0	0	0.121402894442713	0	0	0	0	0	0	0	-0.0687595665721166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0	0	0	-0.0758410422526599	0	0	0	0	0	0	0	0	0	0	-0.0201956019169991	0	0	1	0	0	0	-0.166237172155002	0	0	0	0	0	0	0	0.185322040878938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0293896198750875	0	0	0	1	0	0	-0.0325017908618834	0	0	0	0	0	0	0	0.0962657273889021	-0.117703098554856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
