"atpC"	"dnaA"	"glpF"	"glpT"	"kpsE"	"manZ"	"mrdA"	"rho"	"rpoB"	"rpoC"	"rssB"	"yahA"	"ybaL"	"yfcD"	"yfeY"	"ygfK"	"ykgG"	"yraL"
"atpC"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.176096537790213	0	0.0900246432715615	0
"dnaA"	0	1	0	0	-0.036526596894641	0	0	0	0	0	0	0	0	0	0.25436251371629	0	-0.179154748146728	-0.0229984032518774
"glpF"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.137289794835119	0	-0.0467739669420181	0
"glpT"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.237032259760368	0	0.155500590689725	0
"kpsE"	0	-0.036526596894641	0	0	1	0	0	0	0	0.000478404481705432	0	0	0	0	-0.264394797219827	0	0.19075585722303	0.0408054006876784
"manZ"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.167796379511571	0	-0.0807157908908089	0
"mrdA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.174144543729149	0	0.0877462365960274	0
"rho"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.168482194362696	0	-0.0814359883543901	0
"rpoB"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.226213144565259	0	-0.143880946068056	0
"rpoC"	0	0	0	0	0.000478404481705432	0	0	0	0	1	0	0	0	0	-0.239923408897529	0	0.158358084509802	0
"rssB"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.179357203711185	0	-0.0933462112740939	0
"yahA"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.20534179450545	0	-0.121677786034479	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"yfcD"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.202489230884126	0	-0.11864070411233	0
"yfeY"	-0.176096537790213	0.25436251371629	0.137289794835119	-0.237032259760368	-0.264394797219827	0.167796379511571	-0.174144543729149	0.168482194362696	0.226213144565259	-0.239923408897529	0.179357203711185	0.20534179450545	0	0.202489230884126	1	0.138508900728536	-0.110868707775489	-0.256776381550596
"ygfK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138508900728536	1	-0.04787412533003	0
"ykgG"	0.0900246432715615	-0.179154748146728	-0.0467739669420181	0.155500590689725	0.19075585722303	-0.0807157908908089	0.0877462365960274	-0.0814359883543901	-0.143880946068056	0.158358084509802	-0.0933462112740939	-0.121677786034479	0	-0.11864070411233	-0.110868707775489	-0.04787412533003	1	0.181934133086816
"yraL"	0	-0.0229984032518774	0	0	0.0408054006876784	0	0	0	0	0	0	0	0	0	-0.256776381550596	0	0.181934133086816	1
