"ECB_02003"	"ESCRE1328"	"cls"	"fbp"	"glgA"	"iclR"	"kpsE"	"leuX"	"mrdA"	"pta"	"rho"	"rpoB"	"ybaL"	"yicC"	"yjcF"	"yqeA"
"ECB_02003"	1	0	0	0	0	0	0	0	0	0	0	0	0	0.265028009427649	0	0
"ESCRE1328"	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.282310637902166	0	0
"cls"	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.221837126167104	0	0
"fbp"	0	0	0	1	0	0	0	0	0	0	0	0	0	0.269824900528327	0	0
"glgA"	0	0	0	0	1	0	0	0	0	0	0	0	0	0.144541587485346	0	0
"iclR"	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.250915958044071	0	0
"kpsE"	0	0	0	0	0	0	1	0	0	0	0	0	0	0.303793624281697	0	-0.0210445700534829
"leuX"	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.20234488264318	0	0
"mrdA"	0	0	0	0	0	0	0	0	1	0	0	0	0	0.212621798700467	0	0
"pta"	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.258911242333524	0	0
"rho"	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.243696478966033	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	0	1	0	0.307247282687335	0	-0.0246808803038314
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"yicC"	0.265028009427649	-0.282310637902166	-0.221837126167104	0.269824900528327	0.144541587485346	-0.250915958044071	0.303793624281697	-0.20234488264318	0.212621798700467	-0.258911242333524	-0.243696478966033	0.307247282687335	0	1	0.309067806875587	-0.360839369506394
"yjcF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.309067806875587	1	-0.0258622094274531
"yqeA"	0	0	0	0	0	0	-0.0210445700534829	0	0	0	0	-0.0246808803038314	0	-0.360839369506394	-0.0258622094274531	1
