"ECB_misc_RNA_47"	"ESCRE1901"	"cls"	"entF"	"glgP"	"mdoH"	"mreC"	"rho"	"rpoB"	"rpoC"	"thrA"
"ECB_misc_RNA_47"	1	0.304772554392677	-0.3008049155836	0.312908598320973	-0.335465823623895	0.322953989694068	-0.327318101605328	-0.315701684639757	0.31959503406056	-0.313072402657329	0.305686072388106
"ESCRE1901"	0.304772554392677	1	0	0	0	0	0	0	0	0	0
"cls"	-0.3008049155836	0	1	0	0	0	0	0	0	0	0
"entF"	0.312908598320973	0	0	1	0	0	0	0	0	0	0
"glgP"	-0.335465823623895	0	0	0	1	0	0	0	0	0	0
"mdoH"	0.322953989694068	0	0	0	0	1	0	0	0	0	0
"mreC"	-0.327318101605328	0	0	0	0	0	1	0	0	0	0
"rho"	-0.315701684639757	0	0	0	0	0	0	1	0	0	0
"rpoB"	0.31959503406056	0	0	0	0	0	0	0	1	0	0
"rpoC"	-0.313072402657329	0	0	0	0	0	0	0	0	1	0
"thrA"	0.305686072388106	0	0	0	0	0	0	0	0	0	1
