"ECB_00256"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02002"	"ECB_02003"	"ECB_02035"	"ECB_02800"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"argA"	"aroK"	"atpE"	"clpB"	"cls"	"dacA"	"dnaA"	"dusB"	"fbp"	"fis"	"fruK"	"ftsH"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"gspF"	"hemA"	"hslU"	"hupB"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsT"	"lysP"	"manX"	"manZ"	"mdoG"	"mdoH"	"metH"	"metJ"	"motB"	"mrdA"	"mreC"	"mreD"	"napA"	"nusA"	"ompR"	"pck"	"pdhR"	"pmbA"	"ppk"	"prfA"	"proQ"	"proW"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rpsC"	"rpsR"	"rrlB"	"rssB"	"sbmA"	"secF"	"slyA"	"sucB"	"thrS"	"tktB"	"torS"	"uidB"	"ulaG"	"uvrD"	"vacJ"	"wzyE"	"yahA"	"ybaL"	"ybhJ"	"ybjE"	"ycbC"	"yccE"	"ycgV"	"ydcU"	"yeeJ"	"yehU"	"yfcD"	"yfeY"	"ygfA"	"ygfK"	"ygiV"	"yhhF"	"yicC"	"yjaG"	"yjcF"	"yjeP"	"yjhA"	"ynjI"	"yraM"
"ECB_00256"	1	0.0861935922541003	0	0	0	0	0	0.0397009778727312	0	0	0	0	0	0	0	0	0	0	0	0	0.0856615235446006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148907569730292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0801380762814987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0.0861935922541003	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281646425710149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114221808039481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0632905406351025	0	0	-0.0658461696055616	0	0	0	0	0	0	0	0.120076226733844	0	0	0.138829071602417	0	0	0	0.000804101545057772	0.0706688368382729	0	0	0	0	0.0549180840001937	0	0.0346853651613688	0	0	0	0	0	0	0.0165821090766796	0	0	0	0	0	0	0	0	0.000966836955396182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0687907949188716	0	0	0	0	0.168251075301722	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01996"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01999"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0658579838605313	0	0	0.118602963974068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02002"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351796898762037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0396237919128932	0.0163245337028354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0855387508550675	0	0.0427074439025463	0	0	0	0
"ECB_02035"	0.0397009778727312	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0886760490622316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0296345403291029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
