N	genes_mean	genes_mean_ci_025	genes_mean_ci_975	n_mut_mean	n_mut_ci_025	n_mut_ci_975	ESCRE1901_mean	ESCRE1901_ci_025	ESCRE1901_ci_975	ECB_01992_mean	ECB_01992_ci_025	ECB_01992_ci_975
4	1.6525	1.41	1.9	33.1826	31.57	35.16	0.0578	0.02	0.11	0.0705	0.02	0.12
6	3.5397	3.25	3.82	49.6324	47.68	51.87	0.136	0.07	0.21	0.1547	0.09	0.23
8	4.8329	4.53	5.13	66.1328	63.9	68.68	0.2237	0.15	0.31	0.2433	0.16	0.33
10	5.9134	5.6	6.22	82.8518	80.31	85.71	0.3121	0.22	0.41	0.3468	0.26	0.44
12	6.8952	6.58	7.22	99.3695	96.62	102.37	0.3973	0.3	0.49	0.4317	0.33	0.53
14	7.7315	7.38	8.09	115.8362	112.85	119.03	0.4764	0.38	0.57	0.5264	0.43	0.62
16	8.3843	8.0	8.78	132.7003	129.46	136.17	0.5355	0.44	0.63	0.5843	0.49	0.68
18	8.9212	8.51	9.34	149.1291	145.83	152.74	0.6014	0.51	0.7	0.6374	0.54	0.73
20	9.2807	8.86	9.7	165.5463	162.06	169.27	0.6455	0.55	0.74	0.6773	0.58	0.77
22	9.5717	9.16	9.98	181.8433	178.19	185.66	0.6746	0.58	0.77	0.6776	0.58	0.77
24	9.8817	9.47	10.3	198.609	194.89	202.54	0.6631	0.57	0.75	0.669	0.58	0.76
26	10.4102	9.99	10.82	215.5249	211.62	219.6	0.6736	0.58	0.76	0.6832	0.59	0.77
28	10.9783	10.58	11.38	231.775	227.73	235.93	0.6891	0.6	0.78	0.723	0.63	0.81
30	11.6114	11.19	12.04	248.3531	244.12	252.65	0.7254	0.64	0.81	0.7744	0.69	0.85
32	12.2015	11.77	12.63	265.0589	260.82	269.4	0.7643	0.68	0.84	0.8119	0.73	0.89
34	12.6388	12.2	13.08	281.3317	277.14	285.76	0.814	0.74	0.89	0.8461	0.77	0.91
36	13.0568	12.63	13.49	297.7881	293.44	302.24	0.8442	0.77	0.91	0.8773	0.81	0.94
38	13.4805	13.05	13.9	314.353	309.97	318.78	0.8771	0.81	0.94	0.9078	0.85	0.96
40	14.0129	13.59	14.43	330.859	326.4	335.38	0.8998	0.84	0.95	0.9254	0.87	0.97
42	14.5316	14.12	14.95	347.2556	342.72	351.84	0.9235	0.87	0.97	0.9506	0.9	0.99
44	15.0503	14.63	15.47	363.8845	359.34	368.51	0.9391	0.89	0.98	0.9574	0.91	0.99
46	15.5214	15.08	15.97	381.1179	376.46	385.89	0.9523	0.91	0.99	0.9671	0.93	1.0
48	16.0182	15.58	16.46	397.0874	392.48	401.76	0.9682	0.93	1.0	0.9738	0.94	1.0
50	16.4085	15.97	16.85	413.9951	409.43	418.77	0.9723	0.94	1.0	0.9851	0.96	1.0
52	16.8726	16.41	17.34	430.2665	425.52	435.0	0.9812	0.95	1.0	0.9862	0.96	1.0
54	17.066	16.58	17.55	447.429	442.66	452.19	0.985	0.96	1.0	0.992	0.97	1.0
56	17.3355	16.86	17.82	463.9943	459.34	468.82	0.9905	0.97	1.0	0.9945	0.98	1.0
58	17.584	17.12	18.05	479.904	475.22	484.76	0.9914	0.97	1.0	0.9965	0.98	1.0
60	17.9251	17.46	18.38	496.7985	492.1	501.7	0.9951	0.98	1.0	0.9978	0.99	1.0
62	18.1589	17.71	18.63	513.5676	508.85	518.5	0.9964	0.98	1.0	0.9987	0.99	1.0
64	18.4977	18.03	18.95	529.656	524.96	534.36	0.9983	0.99	1.0	0.9994	0.99	1.0
66	18.9126	18.48	19.34	546.4598	541.68	551.2	0.999	0.99	1.0	0.9993	0.99	1.0
68	19.3374	18.92	19.76	563.0467	558.39	567.76	0.9994	0.99	1.0	0.9997	0.99	1.0
70	19.7899	19.39	20.19	579.3931	574.7	584.03	0.9995	0.99	1.0	0.9998	1.0	1.0
72	20.1512	19.74	20.56	595.9572	591.33	600.42	0.9998	1.0	1.0	0.9999	1.0	1.0
74	20.4855	20.05	20.92	612.3423	607.7	616.89	1.0	1.0	1.0	1.0	1.0	1.0
76	20.7154	20.26	21.16	628.9511	624.28	633.35	0.9999	1.0	1.0	1.0	1.0	1.0
78	20.9347	20.48	21.38	645.7213	641.24	650.13	1.0	1.0	1.0	1.0	1.0	1.0
80	21.1124	20.65	21.57	662.3453	657.87	666.71	0.9999	1.0	1.0	1.0	1.0	1.0
82	21.344	20.88	21.82	678.3997	673.98	682.67	1.0	1.0	1.0	1.0	1.0	1.0
84	21.265	20.81	21.73	695.3483	691.05	699.42	1.0	1.0	1.0	1.0	1.0	1.0
86	21.2722	20.85	21.7	712.1064	707.92	716.12	1.0	1.0	1.0	1.0	1.0	1.0
88	21.4711	21.1	21.85	728.8381	724.75	732.81	1.0	1.0	1.0	1.0	1.0	1.0
90	21.7285	21.36	22.09	745.1636	741.14	749.12	1.0	1.0	1.0	1.0	1.0	1.0
92	22.0671	21.74	22.39	761.8083	757.95	765.44	1.0	1.0	1.0	1.0	1.0	1.0
94	22.5264	22.22	22.84	778.1578	774.3	781.74	1.0	1.0	1.0	1.0	1.0	1.0
96	23.0272	22.72	23.34	794.8601	791.25	798.25	1.0	1.0	1.0	1.0	1.0	1.0
98	23.5162	23.22	23.81	811.1954	807.68	814.42	1.0	1.0	1.0	1.0	1.0	1.0
100	24.0359	23.74	24.33	828.0013	824.69	831.06	1.0	1.0	1.0	1.0	1.0	1.0
102	24.5737	24.28	24.86	844.7192	841.66	847.51	1.0	1.0	1.0	1.0	1.0	1.0
104	25.1209	24.82	25.42	860.7719	857.86	863.48	1.0	1.0	1.0	1.0	1.0	1.0
106	25.5986	25.31	25.89	877.4715	874.8	879.82	1.0	1.0	1.0	1.0	1.0	1.0
108	26.0682	25.79	26.35	894.1025	891.64	896.27	1.0	1.0	1.0	1.0	1.0	1.0
110	26.3768	26.11	26.65	910.7155	908.73	912.47	1.0	1.0	1.0	1.0	1.0	1.0
112	26.9124	26.72	27.09	927.1637	925.48	928.54	1.0	1.0	1.0	1.0	1.0	1.0
114	27.6064	27.49	27.72	943.7537	942.73	944.39	1.0	1.0	1.0	1.0	1.0	1.0
