Identifier, Size, m5, p2, p4, p1, m6, p5, m1, m2, m3, m4, p3, p6
ECB_00020;ECB_00021, 1759.3, , , , , 34250:3:4:0.0619469, , 41750:1:1:0;36750:1:1:0, , 36250:1:1:0;52750:1:1:0, 17750:1:1:0, 22250:1:1:0, 27250:3:4:0.078534;18250:1:1:0;37250:1:1:0;40750:3:3:0.907104;38750:1:1:0;32250:3:3:0.918919
ECB_00022, 665.7, , , , , , , , , 43250:2:2:0.94, , , 27750:3:3:0.896296;7250:2:2:1
ECB_00025, 387.3, , , , , , , 54250:1:1:0, 19250:1:1:0, , , , 30750:1:1:0
ECB_00026;rpsT, 460.3, , , , , , , , , 45250:1:1:0, 43750:3:4:0.297297, , 
ECB_00212, 284.7, , , 19750:1:1:0.0238095, , , , , 6250:2:3:0.916667, 34750:3:5:0.4;50250:1:1:0, 35250:3:3:0.761905, 29750:2:3:1, 17750:1:1:0;750:1:1:0.0265487
ECB_00265, 207.0, , , , , , , , , , 35750:1:1:0.0178571, 35250:2:3:1, 
ECB_00320, 261.7, , , , , , , , , , , 30250:1:1:0, 
ECB_00376, 828.7, 10250:1:1:0, , , , , , 28250:1:1:0, , 57750:3:5:0.0709677, 55750:1:1:0.0384615;47750:3:3:0.674419, 41250:1:1:0, 43750:1:1:0
ECB_00378;ECB_00377, 816.7, , , , , , , , , 41250:1:1:0.0309278;43250:2:2:0.96875, 14750:2:2:1, 37750:1:1:0;40750:1:1:0;58750:3:6:0.0588235;13750:1:1:0;5250:1:1:0, 29750:1:1:0.0103093;38250:1:1:0;8750:1:1:0;42750:1:1:0;19750:2:2:1;9250:1:1:0
ECB_00488, 268.3, , , , , , , 49750:1:1:0, , , , 40750:1:1:0, 41750:3:4:0.0635838
ECB_00490;ECB_00489, 613.0, , , , , , , , 56250:1:1:0;17750:1:4:0.0188679;15250:2:3:0.963415, 47250:1:1:0, , 58250:3:6:0.907692;36750:2:3:1;34250:1:1:0, 43250:3:4:0.0461538;750:1:1:0
ECB_00510, 253.0, , , , , , , , , , , , 
ECB_00514;ECB_00515;ECB_00516;ECB_00513, 1175.0, , , , 14750:1:1:0, , , 39250:1:1:0;27250:1:1:0, 19750:2:2:1;15750:2:2:1, 40250:1:1:0;40250:1:1:0;39250:1:1:0;43250:1:1:0, , , 39750:3:4:0.0993377;50250:1:1:0.00684932;35250:1:1:0
ECB_00517, 141.0, , , , , , , , , , , , 
ECB_00524;yhhI_2, 122.3, , , , , , , , , , , 19250:1:1:0, 
ECB_00526, 233.0, , , , , , , 55750:1:1:0, , , , 15250:1:1:0, 
ECB_00527;ECB_00529;ECB_00528;ECB_00530, 1122.3, , , , , , , , , , , 25750:3:6:0.125, 53250:1:1:0;24750:1:1:0;4750:2:2:0.991379;25750:2:2:1
ECB_00624, 1538.0, , , , 31750:1:1:0, , , , 6250:1:4:0.0909091;39250:1:4:0.03125, 35250:2:2:1, 51250:1:1:0;48250:3:3:0.640625;54750:1:1:0;55750:1:1:0.0212766, 21250:1:1:0.0740741, 13250:1:1:0;24250:1:1:0
ECB_00650, 227.3, , , , , , , , , 53750:1:1:0, , , 10250:2:2:1
ECB_00662, 321.7, , , , , , , 40750:3:4:0.363636, 12250:1:1:0, , , , 10250:1:1:0;23750:1:1:0
ECB_00663, 318.7, , , , , , , , , , 29250:2:2:1, , 
ECB_00664, 295.3, , , , , , , 30750:1:1:0, , , 33250:1:1:0, , 28750:3:3:0.679487
ECB_00726, 950.7, , , , , , , 55250:3:4:0.363636;29750:3:3:0.716667;30250:3:3:0.469388, 24250:2:3:0.984615, 53250:1:1:0;45750:1:1:0, , , 
ECB_00727;ECB_00728, 476.3, , , , , , , 32750:1:1:0, , , , 10250:1:1:0, 28750:1:1:0
ECB_00730;ECB_00731;ECB_00729, 489.0, , , , , , , , , , , 22750:2:3:1, 10250:1:1:0;42250:3:4:0.0336134;25250:1:1:0;750:1:1:0.00680272
ECB_00732;ECB_00733;ECB_00734;ECB_00735;ECB_00736, 3073.0, , , , , , , 26250:2:2:1;45750:1:1:0;37750:1:1:0, 5250:1:1:0;10250:2:3:1;17750:1:4:0;39250:2:3:0.875;17750:1:1:0;3750:2:3:1, 37250:3:5:0.356436;58750:1:1:0;57250:1:1:0.00943396, 7250:2:2:1;7250:3:5:0.514286;16250:2:2:0.833333;16250:2:2:0.875;58250:3:6:0.0337079;42750:1:1:0, 32250:1:1:0;8250:1:1:0;16750:2:3:1;42250:1:1:0;26750:3:6:0.75;26750:3:6:0.333333;41250:3:6:0.473684, 21750:2:2:1;23250:1:1:0;29250:1:1:0;750:3:4:0.043956;32250:3:4:0.0549451;750:1:1:0;7250:1:1:0
ECB_00737, 906.7, , , , 8750:2:2:1, , , , 38750:1:1:0, , , 13750:2:2:1, 26750:1:1:0;42750:3:4:0.725;750:1:1:0
ECB_00738, 1142.7, , , , , , , 32250:3:3:0.608696, , 52750:3:5:0.886792, , 13250:1:1:0;35250:2:6:0.882353;15250:1:1:0;25250:1:1:0, 17750:1:1:0.00578035
